iter	Passed	Remaining
1395	160777	127147
1396	160883	127025
1397	160990	126903
1398	161104	126787
1399	161213	126668
1400	161313	126540
1401	161418	126417
1402	161523	126294
1403	161611	126158
1404	161719	126037
1405	161823	125913
1406	161915	125780
1407	162005	125646
1408	162114	125526
1409	162209	125396
1410	162311	125271
1411	162408	125141
1412	162511	125017
1413	162610	124890
1414	162710	124764
1415	162802	124631
1416	162913	124513
1417	163005	124380
1418	163098	124248
1419	163198	124122
1420	163312	124007
1421	163421	123887
1422	163514	123756
1423	163602	123621
1424	163695	123489
1425	163800	123367
1426	163908	123246
1427	164012	123124
1428	164124	123007
1429	164240	122893
1430	164347	122772
1431	164449	122648
1432	164557	122528
1433	164665	122408
1434	164773	122288
1435	164876	122164
1436	164989	122048
1437	165076	121913
1438	165160	121776
1439	165257	121647
1440	165358	121522
1441	165466	121403
1442	165577	121285
1443	165680	121162
1444	165795	121047
1445	165908	120932
1446	166017	120812
1447	166139	120703
1448	166239	120577
1449	166335	120449
1450	166439	120327
1451	166529	120195
1452	166625	120066
1453	166723	119939
1454	166812	119807
1455	166910	119680
1456	167032	119570
1457	167156	119462
1458	167258	119339
1459	167350	119208
1460	167454	119086
1461	167571	118973
1462	167663	118842
1463	167762	118717
1464	167862	118592
1465	167957	118463
1466	168056	118338
1467	168155	118212
1468	168270	118098
1469	168361	117967
1470	168454	117837
1471	168546	117708
1472	168647	117583
1473	168739	117453
1474	168842	117331
1475	168939	117204
1476	169036	117078
1477	169131	116950
1478	169228	116823
1479	169320	116693
1480	169417	116567
1481	169530	116452
1482	169631	116328
1483	169740	116210
1484	169840	116086
1485	169942	115963
1486	170047	115842
1487	170143	115715
1488	170249	115595
1489	170354	115475
1490	170452	115350
1491	170550	115224
1492	170651	115101
1493	170767	114988
1494	170870	114866
1495	170967	114740
1496	171068	114617
1497	171166	114492
1498	171269	114369
1499	171373	114248
1500	171470	114123
1501	171572	114001
1502	171684	113885
1503	171774	113754
1504	171894	113644
1505	172000	113524
1506	172095	113398
1507	172178	113263
1508	172274	113137
1509	172369	113010
1510	172468	112886
1511	172561	112758
1512	172642	112622
1513	172742	112499
1514	172835	112371
1515	172934	112247
1516	173050	112135
1517	173146	112009
1518	173239	111881
1519	173330	111752
1520	173417	111621
1521	173521	111500
1522	173605	111367
1523	173704	111243
1524	173788	111110
1525	173888	110987
